chr	group_id	NB_Genes	start	end	strand	ENS_ID	Name	Description
1	1	3	1385069	1405538	1	ENSG00000215915	ATAD3C	ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:32151]
1	1	3	1407143	1433228	1	ENSG00000160072	ATAD3B	ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:24007]
1	1	3	1447531	1470067	1	ENSG00000197785	ATAD3A	ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:25567]
1	2	2	1570603	1590473	-1	ENSG00000248333	CDK11B	cyclin-dependent kinase 11B [Source:HGNC Symbol;Acc:1729]
1	2	2	1634169	1655766	-1	ENSG00000008128	CDK11A	cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730]
1	3	2	1592939	1624167	-1	ENSG00000189339	SLC35E2B	solute carrier family 35, member E2B [Source:HGNC Symbol;Acc:33941]
1	3	2	1656277	1677431	-1	ENSG00000215790	SLC35E2	solute carrier family 35, member E2 [Source:HGNC Symbol;Acc:20863]
1	4	3	2460184	2461684	-1	ENSG00000197921	HES5	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:19764]
1	4	3	6304252	6305638	1	ENSG00000173673	HES3	hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:26226]
1	4	3	6472478	6484730	-1	ENSG00000069812	HES2	hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:16005]
1	5	2	9063359	9086404	-1	ENSG00000197241	SLC2A7	solute carrier family 2 (facilitated glucose transporter), member 7 [Source:HGNC Symbol;Acc:13445]
1	5	2	9095166	9148537	-1	ENSG00000142583	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5 [Source:HGNC Symbol;Acc:11010]
1	6	2	10490159	10512210	1	ENSG00000251503	APITD1-CORT	APITD1-CORT readthrough [Source:HGNC Symbol;Acc:38843]
1	6	2	10509776	10511959	1	ENSG00000241563	CORT	cortistatin [Source:HGNC Symbol;Acc:2257]
1	7	2	11708424	11715842	-1	ENSG00000116661	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:13581]
1	7	2	11724181	11734411	1	ENSG00000116663	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:13585]
1	8	2	12704566	12727097	1	ENSG00000204518	AADACL4	arylacetamide deacetylase-like 4 [Source:HGNC Symbol;Acc:32038]
1	8	2	12776118	12788726	1	ENSG00000188984	AADACL3	arylacetamide deacetylase-like 3 [Source:HGNC Symbol;Acc:32037]
1	9	17	12834984	12838049	1	ENSG00000116726	PRAMEF12	PRAME family member 12 [Source:HGNC Symbol;Acc:22125]
1	9	17	12851546	12856777	1	ENSG00000116721	PRAMEF1	PRAME family member 1 [Source:HGNC Symbol;Acc:28840]
1	9	17	12916941	12921764	1	ENSG00000120952	PRAMEF2	PRAME family member 2 [Source:HGNC Symbol;Acc:28841]
1	9	17	12939045	12946025	-1	ENSG00000243073	PRAMEF4	PRAME family member 4 [Source:HGNC Symbol;Acc:31971]
1	9	17	12952727	12958101	-1	ENSG00000187545	PRAMEF10	PRAME family member 10 [Source:HGNC Symbol;Acc:27997]
1	9	17	12976450	12980569	1	ENSG00000204510	PRAMEF7	PRAME family member 7 [Source:HGNC Symbol;Acc:28415]
1	9	17	12998181	13117751	-1	ENSG00000232423	PRAMEF6	PRAME family member 6 [Source:HGNC Symbol;Acc:30583]
1	9	17	13052394	13052998	-1	ENSG00000239810	WI2-3308P17.2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A3QJZ7]
1	9	17	13108842	13112679	-1	ENSG00000270601	PRAMEF23	PRAME family member 23 [Source:HGNC Symbol;Acc:34394]
1	9	17	13140456	13145000	1	ENSG00000204505	PRAMEF25	PRAME family member 25 [Source:HGNC Symbol;Acc:49179]
1	9	17	13216356	13219581	-1	ENSG00000229571	PRAMEF26	PRAME family member 26 [Source:HGNC Symbol;Acc:49178]
1	9	17	13386646	13390765	-1	ENSG00000182330	PRAMEF8	PRAME family member 8 [Source:HGNC Symbol;Acc:24074]
1	9	17	13421176	13428191	1	ENSG00000204501	PRAMEF9	PRAME family member 9 [Source:HGNC Symbol;Acc:27996]
1	9	17	13668269	13673511	-1	ENSG00000204481	PRAMEF14	PRAME family member 14 [Source:HGNC Symbol;Acc:13576]
1	9	17	13694889	13698405	-1	ENSG00000204480	PRAMEF19	PRAME family member 19 [Source:HGNC Symbol;Acc:24908]
1	9	17	13716092	13719089	1	ENSG00000204479	PRAMEF17	PRAME family member 17 [Source:HGNC Symbol;Acc:29485]
1	9	17	13736907	13747803	1	ENSG00000204478	PRAMEF20	PRAME family member 20 [Source:HGNC Symbol;Acc:25224]
1	10	2	12907261	12908578	-1	ENSG00000179172	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1 [Source:HGNC Symbol;Acc:29295]
1	10	2	13182960	13184326	-1	ENSG00000179412	HNRNPCP5	heterogeneous nuclear ribonucleoprotein C pseudogene 5 [Source:HGNC Symbol;Acc:48813]
1	11	3	15764935	15775737	1	ENSG00000162438	CTRC	chymotrypsin C (caldecrin) [Source:HGNC Symbol;Acc:2523]
1	11	3	15783223	15798586	1	ENSG00000142615	CELA2A	chymotrypsin-like elastase family, member 2A [Source:HGNC Symbol;Acc:24609]
1	11	3	15792404	15817895	1	ENSG00000215704	CELA2B	chymotrypsin-like elastase family, member 2B [Source:HGNC Symbol;Acc:29995]
